label,features,customerID
0.0,"(28,[0,1,3,6,7,10,12,13,15,17,19,21,22,26],[50.7,350.3500061035156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",6497-TILVL
1.0,"(28,[0,1,3,5,6,7,9,11,13,16,17,20,24,27],[94.85,5000.2001953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0691-JVSYA
0.0,"(28,[0,1,3,4,5,6,7,9,11,14,15,18,19,21,22,24],[80.05,1112.300048828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",8544-GOQSH
0.0,"(28,[0,1,2,3,4,5,6,8,10,11,13,15,18,19,22,26],[65.55,237.1999969482422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",5172-MIGPM
0.0,"(28,[0,1,2,3,5,6,8,21,23,26],[25.4,1710.9000244140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",4312-KFRXN
1.0,"[69.9,69.9000015258789,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0]",5875-YPQFJ
0.0,"(28,[0,1,2,3,4,5,6,7,9,11,13,16,17,19,22],[85.7,256.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",3916-NRPAP
0.0,"(28,[0,1,3,4,5,10,12,14,16,18,20,21,24,25],[53.6,2879.199951171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",4598-ZADCK
0.0,"(28,[0,1,2,3,4,5,6,8,9,12,13,15,17,19,22,26],[90.75,174.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",4137-BTIKL
0.0,"(28,[0,1,3,6,8,10,12,14,16,18,19,24,25],[78.45,5333.35009765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",1032-MAELW
0.0,"(28,[0,1,2,3,4,5,6,7,21,22,24,26],[19.5,19.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",5906-BFOZT
0.0,"(28,[0,1,2,3,4,5,10,11,13,15,17,19,21,22,24,25],[24.95,190.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",1335-NTIUC
0.0,"(28,[0,1,3,4,5,6,7,10,12,13,15,17,19,21,22,27],[49.55,49.54999923706055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",8885-QSQBX
0.0,"(28,[0,1,2,3,4,5,6,7,9,11,13,15,17,19,21,22,25],[69.75,1729.3499755859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",7504-UWHNB
1.0,"(28,[0,1,2,3,5,6,7,9,11,14,15,18,20,22,24,25],[99.85,990.9000244140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",8443-WVPSS
1.0,"(28,[0,1,2,5,10,12,13,15,17,19,22,27],[39.1,971.2999877929688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",2778-OCLGR
1.0,"(28,[0,1,2,3,4,5,10,11,14,16,17,20,24,26],[53.95,2375.39990234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",8627-EHGIP
0.0,"(28,[0,1,3,6,7,21,22,24,27],[19.8,196.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",4182-BGSIQ
0.0,"(28,[0,1,2,3,5,6,8,9,12,14,16,18,20,23],[114.3,8244.2998046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",7929-SKFGK
0.0,"(28,[0,1,2,3,4,5,6,7,21,23,26],[19.75,265.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",5063-IUOKK
0.0,"(28,[0,1,10,11,14,15,17,19,24,25],[39.1,1096.5999755859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",4291-HYEBC
1.0,"(28,[0,1,4,5,6,7,9,11,14,15,17,19,22,24,25],[86.0,86.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",4844-JJWUY
1.0,"(28,[0,1,3,4,5,6,7,10,12,13,15,18,19,21,22],[53.85,259.79998779296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0870-VEMYL
0.0,"(28,[0,1,3,4,6,7,21,22,26],[20.05,163.60000610351562,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",2717-HVIZY
0.0,"(28,[0,1,2,3,6,7,9,11,14,16,18,20,24,25],[106.15,7475.10009765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",6994-FGRHH
1.0,"(28,[0,1,2,3,6,8,9,11,14,15,17,20,22,24,25],[99.35,4749.14990234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",6467-CHFZW
0.0,"(28,[0,1,3,4,5,6,8,9,11,13,15,17,19,22,24,25],[84.5,3906.699951171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",3714-NTNFO
0.0,"(28,[0,1,3,4,5,10,12,13,15,17,19,21,23,27],[31.05,1126.3499755859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",9560-BBZXK
1.0,"(28,[0,1,3,5,6,8,9,11,14,16,17,20,22,24,25],[105.05,5624.85009765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",4484-GLZOU
0.0,"(28,[0,1,2,3,5,6,8,9,11,13,15,18,20,21,22,24],[91.5,3236.35009765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",6745-JEFZB
1.0,"(28,[0,1,3,4,5,6,8,9,11,13,15,17,19,21,22,24,25],[73.85,511.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0122-OAHPZ
0.0,"(28,[0,1,3,4,5,6,8,10,12,14,16,18,20,23,24,25],[88.15,6148.4501953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",2088-IEBAU
1.0,"(28,[0,1,3,6,7,21,22,26],[19.0,233.5500030517578,1.0,1.0,1.0,1.0,1.0,1.0])",1218-VKFPE
0.0,"(28,[0,1,2,3,5,6,8,9,12,14,16,17,19,23,24,25],[99.15,7422.10009765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0742-LAFQK
1.0,"(28,[0,1,3,4,5,6,7,9,11,13,15,17,19,22,24,25],[80.0,412.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",6941-PMGEP
0.0,"(28,[0,1,3,6,7,21,23],[20.0,1209.25,1.0,1.0,1.0,1.0,1.0])",6621-NRZAK
0.0,"(28,[0,1,2,3,6,8,9,11,14,16,18,20,23,24,27],[111.2,7530.7998046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",3022-BEXHZ
0.0,"(28,[0,1,2,3,4,5,10,12,13,15,18,19,21,24,26],[35.4,1748.9000244140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0121-SNYRK
0.0,"(28,[0,1,3,4,5,6,8,21],[24.8,615.3499755859375,1.0,1.0,1.0,1.0,1.0,1.0])",6510-UPNKS
0.0,"(28,[0,1,3,5,6,8,10,11,13,15,18,20,21,24,27],[64.85,2908.199951171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",6718-BDGHG
0.0,"(28,[0,1,5,6,7,9,11,14,16,17,20,23,24,25],[99.2,7213.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",2277-BKJKN
0.0,"(28,[0,1,3,10,11,14,15,17,19,21,22,24,25],[30.5,167.1999969482422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",6637-KYRCV
0.0,"(28,[0,1,2,3,6,8,10,11,13,15,17,20,21,22,25],[60.35,1404.6500244140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",8201-AAXCB
0.0,"(28,[0,1,3,6,8,10,12,14,16,17,20,21,24],[78.35,3211.199951171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",9917-KWRBE
0.0,"(28,[0,1,2,3,6,8,9,11,14,15,17,20,22,24,27],[97.7,3410.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",4947-DSMXK
0.0,"(28,[0,1,5,6,8,9,11,14,15,17,19,22,25],[89.45,5294.60009765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0924-BJCRC
0.0,"(28,[0,1,2,3,4,5,6,7,21,22,26],[20.4,181.8000030517578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",4568-TTZRT
0.0,"(28,[0,1,2,3,4,6,7,21,26],[19.85,535.0499877929688,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",4962-CHQPW
0.0,"(28,[0,1,2,3,6,7,10,11,13,16,18,19,21,23,24],[55.25,3119.89990234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",1335-MXCSE
1.0,"(28,[0,1,3,6,8,9,11,14,16,17,19,21,22,24,25],[84.5,916.9000244140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",5520-FVEWJ
0.0,"(28,[0,1,3,6,8,10,11,13,15,17,19,21,22,25],[48.8,349.79998779296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",1355-KUSBG
0.0,"(28,[0,1,3,5,6,8,9,11,14,16,18,20,22,24,25],[111.15,6953.39990234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",2067-QYTCF
0.0,"(28,[0,1,3,4,5,6,7,10,11,13,15,17,19,21,22,26],[45.15,45.150001525878906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",7252-NTGSS
